ID,symbols,logFC,P.Value
LOC_Os01g01060,LOC_Os01g01060,-0.880458,0.00144447
LOC_Os01g01170,LOC_Os01g01170,-0.829139,0.00447556
LOC_Os01g01510,LOC_Os01g01510,-0.893405,0.00144447
LOC_Os01g02150,LOC_Os01g02150,1.48931,0.0176481
LOC_Os01g02170,LOC_Os01g02170,-0.77008,0.0428878
LOC_Os01g02320,LOC_Os01g02320,-2.6418,0.00144447
LOC_Os01g02400,LOC_Os01g02400,-4.00306,0.00144447
LOC_Os01g02490,LOC_Os01g02490,-2.80247,0.0025789
LOC_Os01g02700,LOC_Os01g02700,1.09732,0.0025789
LOC_Os01g02710,LOC_Os01g02710,1.16792,0.0268193
LOC_Os01g02870,LOC_Os01g02870,1.8413,0.00144447
LOC_Os01g03070,LOC_Os01g03070,-0.683425,0.0122338
LOC_Os01g03180,LOC_Os01g03180,1.21714,0.00355611
LOC_Os01g03230,LOC_Os01g03230,-3.42146,0.0416717
LOC_Os01g03490,LOC_Os01g03490,0.991541,0.00144447
LOC_Os01g03570,LOC_Os01g03570,2.08241,0.00144447
LOC_Os01g03680,LOC_Os01g03680,-1.39645,0.00144447
LOC_Os01g03750,LOC_Os01g03750,0.890466,0.0413115
LOC_Os01g04050,LOC_Os01g04050,-0.880823,0.0182433
LOC_Os01g04350,LOC_Os01g04350,2.12934,0.00144447
LOC_Os01g04630,LOC_Os01g04630,1.43902,0.00144447
LOC_Os01g05010,LOC_Os01g05010,-0.852799,0.0025789
LOC_Os01g05060,LOC_Os01g05060,-1.01974,0.00144447
LOC_Os01g05610,LOC_Os01g05610,-0.646381,0.0268193
LOC_Os01g05630,LOC_Os01g05630,-0.706038,0.010105
LOC_Os01g05970,LOC_Os01g05970,-0.569725,0.0470521
LOC_Os01g06560,LOC_Os01g06560,1.03485,0.00619541
LOC_Os01g06580,LOC_Os01g06580,1.14405,0.00619541
LOC_Os01g06600,LOC_Os01g06600,0.684166,0.0219986
LOC_Os01g07080,LOC_Os01g07080,-0.701497,0.0165457
LOC_Os01g07140,LOC_Os01g07140,0.762519,0.00860411
LOC_Os01g07170,LOC_Os01g07170,0.809991,0.00781053
LOC_Os01g07620,LOC_Os01g07620,2.46659,0.0025789
LOC_Os01g07630,LOC_Os01g07630,0.641538,0.0176481
LOC_Os01g07940,LOC_Os01g07940,1.50239,0.00144447
LOC_Os01g08190,LOC_Os01g08190,0.721125,0.0135233
LOC_Os01g08220,LOC_Os01g08220,-1.19432,0.0153591
LOC_Os01g08250,LOC_Os01g08250,2.47887,0.00144447
LOC_Os01g08440,LOC_Os01g08440,2.26604,0.00535638
LOC_Os01g08520,LOC_Os01g08520,1.1707,0.00144447
LOC_Os01g08700,LOC_Os01g08700,0.599745,0.0268193
LOC_Os01g08770,LOC_Os01g08770,-0.951222,0.00144447
LOC_Os01g08820,LOC_Os01g08820,-0.808282,0.0165457
LOC_Os01g09410,LOC_Os01g09410,1.25635,0.0236047
LOC_Os01g09450,LOC_Os01g09450,1.4718,0.0395646
LOC_Os01g09510,LOC_Os01g09510,-0.827116,0.00144447
LOC_Os01g09540,LOC_Os01g09540,-0.887287,0.0171042
LOC_Os01g09570,LOC_Os01g09570,-0.715153,0.0230771
LOC_Os01g09800,LOC_Os01g09800,1.11407,0.00144447
LOC_Os01g10040,LOC_Os01g10040,2.29608,0.00144447
LOC_Os01g10400,LOC_Os01g10400,1.83263,0.00144447
LOC_Os01g10580,LOC_Os01g10580,1.65104,0.00144447
LOC_Os01g10690,LOC_Os01g10690,-0.739553,0.00619541
LOC_Os01g10800,LOC_Os01g10800,-0.867444,0.00936537
LOC_Os01g10820,LOC_Os01g10820,-0.620412,0.0432353
LOC_Os01g11230,LOC_Os01g11230,-0.748461,0.0215346
LOC_Os01g12090,LOC_Os01g12090,-0.822936,0.00781053
LOC_Os01g12160,LOC_Os01g12160,1.51186,0.00144447
LOC_Os01g12340,LOC_Os01g12340,1.89821,0.00144447
LOC_Os01g12374,LOC_Os01g12374,2.46783,0.0153591
LOC_Os01g12430,LOC_Os01g12430,0.881128,0.00447556
LOC_Os01g12440,LOC_Os01g12440,-1.01653,0.00144447
LOC_Os01g12480,LOC_Os01g12480,-0.756042,0.00535638
LOC_Os01g12640,LOC_Os01g12640,1.10632,0.00144447
LOC_Os01g12900,LOC_Os01g12900,1.72974,0.00144447
LOC_Os01g12910,LOC_Os01g12910,1.61656,0.0301367
LOC_Os01g13080,LOC_Os01g13080,-0.962828,0.00144447
LOC_Os01g13120,LOC_Os01g13120,2.8779,0.00144447
LOC_Os01g13210,LOC_Os01g13210,0.723971,0.0153591
LOC_Os01g13430,LOC_Os01g13430,-0.60522,0.0252889
LOC_Os01g13520,LOC_Os01g13520,1.21736,0.00144447
LOC_Os01g13690,LOC_Os01g13690,1.17099,0.0025789
LOC_Os01g14410,LOC_Os01g14410,-4.14696,0.00447556
LOC_Os01g14770,LOC_Os01g14770,1.24351,0.00144447
LOC_Os01g14830,LOC_Os01g14830,-0.898669,0.0025789
LOC_Os01g15000,LOC_Os01g15000,2.11081,0.00144447
LOC_Os01g16450,LOC_Os01g16450,-0.719743,0.0209878
LOC_Os01g16810,LOC_Os01g16810,1.85497,0.00144447
LOC_Os01g16910,LOC_Os01g16910,-0.901675,0.00535638
LOC_Os01g17060,LOC_Os01g17060,1.13783,0.00781053
LOC_Os01g17170,LOC_Os01g17170,-0.57066,0.0460416
