"","ID","symbols","logFC","P.Value"
"1","hsa-miR-877","100126314",2.077242999,2.51e-13
"2","hsa-miR-873","100126316",3.523561956,1.21e-14
"3","hsa-miR-942","100126331",1.778208576,3.82e-07
"4","hsa-miR-889","100126345",-2.64385619,3.89e-05
"5","hsa-miR-760","100126348",3.424922088,1.39e-27
"6","hsa-miR-1287","100302133",2.72900887,6.21e-17
"7","hsa-miR-548n","100302152",1.941106311,2.66e-08
"8","hsa-miR-1307","100302174",2.124328135,6.38e-16
"9","hsa-miR-1271","100302203",1.782408565,0.000102818
"10","hsa-miR-1268","100302233",1.510961919,5.28e-06
"11","hsa-miR-1301","100302246",1.847996907,5.03e-06
"12","hsa-miR-1305","100302270",1.713695815,2.17e-05
"13","230652","10156",1.2733161651103,0
"14","106534","10202",-2.26191153747677,0
"15","188801","10219",1.02217060080528,0
"16","173633","10297",1.33125465674261,0
"17","182226","10330",-1.03938191098313,0
"18","180726","10333",-1.35766408969551,0
"19","218151","104",1.13399272481991,0
"20","198318","10409",-1.81711230235594,0
"21","235541","10492",-1.04618901771076,0
"22","147448","1050",-1.1813876539372,0
"23","100596","1054",-1.37920336830609,0
"24","118930","10628",-1.07792239592003,0
"25","130061","10693",-1.20131645297401,0
"26","198465","10720",1.08129105499217,0
"27","215759","10826",1.15390522158377,0
"28","119727","10866",-1.11486715927654,0
"29","150112","10938",-1.01978914563905,0
"30","132744","11009",-2.51742291747102,0
"31","218047","11037",1.1899099386034,0
"32","120716","11069",1.46131121424276,0
"33","212202","11253",1.22591372769902,0
"34","169133","112609",1.2073072609332,0
"35","121683","112802",1.20179545968105,0
"36","207762","11328",1.96169647866411,0
"37","191084","115908",1.06758224485923,0
"38","106212","116151",1.12420903627252,0
"39","123195","116238",1.13279066153703,0
"40","137540","116442",-2.17643142315207,0
"41","189919","117166",-2.67794187913698,0
"42","139315","119587",1.03409461122238,0
"43","175520","123879",-1.13149834132394,0
"44","185369","1282",1.65137055074448,0
"45","111306","1284",1.03238059940724,0
"46","206520","1286",1.90263098186382,0
"47","200155","1287",1.04911894395427,0
"48","219384","1295",1.23727890110282,0
"49","127694","130271",-1.20337430926744,0
"50","124270","1303",1.1160789430051,0
"51","176736","130560",1.59611117118813,0
"52","201107","1306",1.25686439878502,0
"53","175144","130814",1.02715506096516,0
"54","231921","131578",-1.03926126342726,0
"55","104139","135154",1.08357030284969,0
"56","131706","1399",-1.03586060521546,0
"57","127294","1404",1.35636529199652,0
"58","141667","144448",-1.99075413099323,0
"59","176989","144455",-1.29088592918793,0
"60","113619","146050",-1.01711262397763,0
"61","143089","146330",1.21075093857919,0
"62","157963","1464",1.32043161763552,0
"63","195779","147",-1.32808856351912,0
"64","131540","147495",1.38433098166174,0
"65","222593","147658",1.11576528553586,0
"66","216485","147837",-1.60050420806763,0
"67","176334","148103",-1.65887823444947,0
"68","190300","148523",-1.13179932306699,0
"69","105377","1491",-1.41808830248728,0
"70","133031","150372",1.22889796006326,0
"71","131603","153769",-2.36526013702512,0
"72","135086","1543",-2.46063333862634,0
"73","113717","158326",1.0595671596214,0
"74","143783","161829",1.0933556640398,0
"75","126066","163175",1.08306095849088,0
"76","192258","1647",-1.3134522316307,0
"77","163509","1649",-1.63645145893036,0
"78","181632","169693",-1.081459324538,0
"79","115423","1746",-1.51076430068811,0
"80","158562","177",-1.14497629434514,0
"81","174203","18",1.09784233194848,0
"82","144581","1917",-1.44916391438827,0
"83","167807","2",1.14733107523557,0
"84","184596","201140",-1.13027141625377,0
"85","103171","202374",-1.07922304465039,0
"86","211773","2027",-1.68449782235757,0
"87","186130","204801",-1.07170236221457,0
"88","100064","2069",-1.32002917871465,0
"89","115975","214",1.01634917960641,0
"90","211534","2173",1.04489552490467,0
"91","164725","2191",1.17635373088414,0
"92","212777","219790",-1.09843272003912,0
"93","233840","220213",-1.12696123559222,0
"94","101498","220832",-1.20379592533906,0
"95","200629","221749",-1.06090775603644,0
"96","175369","221935",-1.52441212556691,0
"97","202382","2273",1.05403595363353,0
"98","108491","22795",1.13425040461632,0
"99","170127","22843",-1.12972026037003,0
"100","165482","22943",-2.06333799294648,0
"101","157201","2299",-1.32238601042949,0
"102","225520","23034",1.23069890405613,0
"103","161427","23095",1.00365258693782,0
"104","173190","23285",1.08431314564285,0
"105","138071","23326",-1.19982946094272,0
"106","146332","23476",-1.36834730806145,0
"107","186929","23493",1.12252748529293,0
"108","161539","23529",-1.16833806712012,0
