"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","genes","symbols"
"13","171732_x_at",0.272699183101192,8.17780630071379,3.1798234815518,0.00957415932844624,0.0366245643528741,-3.86824227642511,"Cel.19461","lin-9"
"17","171736_x_at",0.0642474018568171,7.280895861686,0.674303145839516,0.515090160883272,0.707155029732041,-7.4719014685881,"Cel.17916","sex-1"
"19","171738_x_at",-0.308188217534941,9.24780423355891,-3.20998394387233,0.00909139056418623,0.0350771903017927,-3.81553506417587,"Cel.23117","unc-44"
"56","171775_x_at",0.604269070390708,6.77242772601756,4.84447175053011,0.00063718717376185,0.00447713037464654,-1.05030486113001,"Cel.6028","ZK596.1"
"102","171821_x_at",-0.0748944341112043,4.43317918546298,-0.875609242964778,0.401365617389651,0.610891160002748,-7.31060955008816,"Cel.5788","tag-172"
"122","171841_x_at",-0.155877889087549,8.06957965621314,-1.23495927912052,0.244501069185753,0.441557845651953,-6.93693566575807,"Cel.17799","hlh-11"
"147","171866_x_at",-0.161011005980964,8.4794111417598,-1.212500278061,0.252621337131863,0.451787032851821,-6.96319284385936,"Cel.23118","F15C11.2"
"149","171868_x_at",-0.212498781346622,5.50677212673698,-2.54795942501681,0.0285314681797181,0.0875287413648978,-4.96384718809075,"Cel.17169","Y71G12B.11"
"157","171876_at",0.0545094762354088,7.71000631734438,0.587786222709746,0.569442881110168,0.747181185705362,-7.52946717943863,"Cel.17712","letm-1"
"180","171899_x_at",0.170694278152305,6.2080120751902,1.98325846135556,0.0748640329294833,0.18650127295388,-5.8932620686361,"Cel.34208","rpa-1"
"184","171903_x_at",0.153357631149414,5.11720809842777,1.34448011609732,0.207891027897788,0.395421143857709,-6.80390331773058,"Cel.23343","wago-9"
"204","171923_x_at",-1.55062557308857,7.29774840186118,-15.9915943292914,1.46081869576731e-08,1.42215395756222e-06,10.2930965183568,"Cel.8339","Y38F1A.6"
"256","171975_x_at",0.061442361770009,7.18168701460886,0.709075511952446,0.494145186968835,0.691673315834486,-7.44672863433351,"Cel.22808","rsp-3"
"276","171995_x_at",0.171282669606262,7.12755214146554,1.83496714365352,0.0957647338882791,0.224061748109857,-6.12167521204699,"Cel.6733","lit-1"
"287","172006_x_at",-0.1116176637049,9.55880569499699,-1.51437852493932,0.160244968130215,0.328464833019336,-6.58233781685277,"Cel.20764","bli-4"
"300","172019_x_at",0.523829182081137,8.45204294133925,5.42267259231644,0.000271203382064448,0.00242465205850179,-0.146472839370724,"Cel.19461","lin-9"
"309","172028_x_at",0.018244155369576,6.49905434921212,0.180247376647697,0.86048459419169,0.928705524842848,-7.69784824748602,"Cel.16650","unc-11"
"310","172029_x_at",0.00495895324201889,7.918508350135,0.0460304262833087,0.964173599293608,0.981462171860257,-7.71445950788679,"Cel.16650","unc-11"
"312","172031_x_at",0.0380529488376489,8.74425008699023,0.497442040399635,0.629411731584127,0.790871955297727,-7.58166623047441,"Cel.5079","etr-1"
"339","172058_x_at",-0.0739197265518419,7.16394513702519,-0.758057729776602,0.46554801964707,0.669613728195483,-7.40933211720867,"Cel.22903","unc-43"
"343","172062_x_at",-0.145730457366771,5.89257104020367,-1.54955416122916,0.151655906502407,0.315108355644867,-6.53434466354951,"Cel.11177","twk-17"
"393","172112_x_at",-0.0402846581990195,6.33873472417375,-0.2945876853483,0.774209595094406,0.882759332737615,-7.66827497723536,"Cel.28207","hpo-37"
"404","172123_x_at",-0.398440809253563,8.94648181736271,-4.90910371369809,0.00057778675124442,0.00417382670718551,-0.947010619394907,"Cel.23117","unc-44"
"416","172135_x_at",-0.256040343523658,5.74040121255178,-2.16459637892732,0.0551225700876715,0.147277769040336,-5.60361805672447,"Cel.32466","Y5H2A.4"
"430","172149_x_at",0.0482892232053649,7.223315023965,0.368017209678352,0.72037297326697,0.851894131306983,-7.64190513682042,"Cel.16650","unc-11"
"431","172150_x_at",0.000489599883537473,6.92008919897238,0.00466666028568591,0.996366451331402,0.998131103005223,-7.71560831475857,"Cel.16650","unc-11"
"432","172151_x_at",-0.089068940421412,6.02420643627046,-0.925435937191647,0.376087524563966,0.585654913845393,-7.26506827336517,"Cel.16650","unc-11"
"433","172152_x_at",0.0428783968775361,6.53182117137914,0.334897997278292,0.744478482997268,0.866764044553758,-7.65450686370325,"Cel.16650","unc-11"
"434","172153_x_at",-0.513441329694039,8.8796073972781,-5.85483522357129,0.000147728941620591,0.00156539716163243,0.498828706265176,"Cel.23117","unc-44"
"444","172163_x_at",-0.243342553874631,5.06099469647078,-2.98379937824799,0.0134185596541528,0.0479537059193186,-4.21056769584426,"Cel.4866","C06C6.8"
"482","172201_x_at",-0.267898160907395,5.98633178281067,-1.94472445351527,0.0798423933231586,0.195755759529309,-5.95341190247582,"Cel.29322","ZC376.8"
"483","172202_x_at",-0.0615853603831997,4.10612192130657,-0.521953652272284,0.612833861598974,0.778515784316496,-7.56831663464165,"Cel.34266","F11F1.5"
"523","172242_x_at",-0.169635604422717,7.43395474250277,-2.02212621957382,0.0701389213865148,0.17706908015732,-5.83206519744918,"Cel.18761","F36D1.4"
"551","172270_x_at",0.686896726704978,9.17648211370958,9.2702915548525,2.71702608746156e-06,7.75627095345888e-05,4.76482892844221,"Cel.12456","R102.5"
